Formato Space: #s:ID|Nombre|northLink|eastLink|southLink|westLink|gdescLine1;gdescLine2,...
la longitud de gdescLine esta limitidad por el codigo, es decir, si es mas larga de lo debido se ignorara. Si hay mas lineas de descripcion de lo debido tambien se ignoran

Formato Player: #p:ID|Nombre|LocationID|VidaMaxima|Vida|DanoBase|Fuerza|Defensa|NivelMagia|gdesc

#p:1|Hero|11|100|100|2|1|1|1|mO^

-#s:11|Entry|-1|-1|1|4
-#s:12|Corridor1|1|-1|2|-1
-#s:13|Corridor2|2|4|3|-1
-#s:14|AMONGUS|3|-1|-1|-1

#s:11|Entry|-1|-1|1|-1|    _    ;\ \_-------__ ;\  mo'\_;\  @  _  ;  \__/  \__
#s:121|Corridor1|1|-1|2|-1
#s:122|Corridor2|2|6|3|-1
#s:123|Corridor3|3|-1|4|-1
#s:124|Corridor4|4|-1|5|-1
#s:13|Pantry|5|-1|-1|-1
#s:125|Corridor5|-1|7|-1|6
#s:126|Corridor6|-1|8|-1|7
#s:127|Corridor7|-1|9|-1|8
#s:14|Hole|-1|-1|-1|9

Formato Link: #l:ID|Space1|Space2|adjacent|locked|unlockingObjectID

-#l:1|11|12|1|0|0
-#l:2|12|13|1|0|0
-#l:3|13|14|1|0|0
-#l:4|11|13|1|0|0

#l:1|11|121|1|0|0
#l:2|121|122|1|0|0
#l:3|122|123|1|0|0
#l:4|123|124|1|0|0
#l:5|124|13|1|0|0
#l:6|122|125|1|0|0
#l:7|125|126|1|0|0
#l:8|126|127|1|0|0
#l:9|127|14|1|0|0

Formato Object: #o:ID|Nombre|LocationID|InventoryType
InventoryType = {UNKNOWN_INVENTORY == 0, PLAYER_INVENTORY == 1, NPC_INVENTORY == 2, SPACE_INVENTORY == 3}

#o:1|Grain1|11|3
#o:2|Grain2|11|3
#o:3|Grain3|121|3
#o:4|Grain4|122|3

Formato Event: #e:Id|Type|cmdTriggersNum|cmdName1 , ...|removeOnTrigger|tagvalue1:tagvalue2,...

#e:1|object_on_space|2|tk,dr|0|1:13
#e:2|object_on_space|2|tk,dr|0|2:14
#e:3|trigger_combat|3|tk,dr,ch|0|20
#e:4|player_death|0|0| 

Formato NPC: #n:ID|Message|Nombre|LocationID|Status|VidaMaxima|Vida|DanoBase|Fuerza|Defensa|NivelMagia|gdesc"
NPC_status = {UNKNOWN_STATUS == 0, NEUTRAL == 1, ALLY == 2, ENEMY == 3}

#n:1|Hello traveler i'm NPC1|NPC1|11|1|1|1|1|1|1|1|^0m"
#n:2|Hello traveler i'm NPC2|NPC2|11|1|1|1|1|1|1|1|^1m"
#n:3|Die|Enemy1|11|3|10|10|1|1|1|1|^2m"
#n:4|Die|Enemy2|11|3|10|10|1|1|1|1|^3m"
#n:5|Die|Enemy3|11|3|10|10|1|1|1|1|^4m"
